company,date,description,venue,profession,hospitality,attendees,cost,hospitalityCost,originalHospitalityCost,originalCost,originalAttendees,nurses,pharmacists,gps,mentalhealth,rehab,oncologists,other,spendratio
abbott,2007-12-01,20 min Presentation: The Science Behind Abbott Sevoflurane,Princess Margaret Hospital; WA,Anaesthetists,Lunch: Food/beverages,14,168,168,$168,$168,14,0,0,0,0,0,0,1,12
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Sofitel Brisbane; 249 Turbot Street; Brisbane QLD,GPs,Dinner: Food/beverages,86,8224,7423,$7;423,$8;224,86,0,0,1,0,0,0,0,96
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Olio's Restaurant; St Leonards NSW,Urologists,Lunch: Food/beverages,3,78,78,$78,$78,3,0,0,0,0,0,0,1,26
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Repatriation General Hospital; Daw Park SA,Urologists,Supper: Food/beverages,5,58,58,$58,$58,5,0,0,0,0,0,0,1,12
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Radiation Oncology Seminar Room Royal Prince Alfred Hospital Sydney NSW,Urologists,Lunch: Food/beverages,30,249,249,$249,$249,30,0,0,0,0,0,0,1,8
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Peleton Expresso Bar; Port Macquarie NSW,Urologists,Lunch: Food/beverages,3,48,48,$48,$48,3,0,0,0,0,0,0,1,16
abbott,2007-12-01,45 min Clinical Review: Obesity & Hypertension,Westmead Hospital Hawkesbury Road; Westmead NSW,Endocrinologists,Lunch: Food/beverages,11,167,167,$167,$167,11,0,0,0,0,0,0,1,15
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Hilton Melbourne Airport; Arrival Drive; VIC,GPs,Dinner: Food/beverages,22,3482,1739,$1;739,$3;482,22,0,0,1,0,0,0,0,158
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Kailis Bros; Leederville; Perth WA,GPs,Dinner: Food/beverages,28,2576,2576,$2;576,$2;576,28,0,0,1,0,0,0,0,92
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Lenna Hotel; Hobart Tas,Urologists,Breakfast: Food/beverages,10,135,135,$135,$135,10,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Geelong Hospital VIC,Urologists,Breakfast: Food/beverages,12,118,118,$118,$118,12,0,0,0,0,0,0,1,10
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Royal Prince Alfred Hospital Sydney NSW,Gastroenterologists,Morning Tea: Food/beverages,10,98,98,$98,$98,10,0,0,0,0,0,0,1,10
abbott,2007-12-01,30 min Case Study Meeting: Drug Interactions in HIV Treatment,Monkey Bar; Balmain; Sydney NSW,Specialists (Infectious Diseases),Dinner: Food/beverages,19,500,500,$500,$500,19,0,0,0,0,0,0,1,26
abbott,2007-12-01,45 min Clinical Paper Review: Treating HIV,Taylor Square Private Practice; Darlinghurst; Sydney NSW,Specialists (Infectious Diseases),Lunch: Food/beverages,9,128,128,$128,$128,9,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Konditori Café; Launceston Tas,Urologists,Breakfast: Food/beverages,10,195,195,$195,$195,10,0,0,0,0,0,0,1,20
abbott,2007-12-01,30 min Presentation: Treating Hypertension,Westmead Hospital; Westmead NSW,Registrars,Lunch: Food/beverages,29,274,274,$274,$274,29,0,0,0,0,0,0,1,9
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Radisson Hotel; Gold Coast QLD,GPs,Dinner: Food/beverages,32,2895,2167,$2;167,$2;895,32,0,0,1,0,0,0,0,90
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Georges Restaurant Camberwell VIC,GPs,Dinner: Food/beverages,35,4187,3066,$3;066,$4;187,35,0,0,1,0,0,0,0,120
abbott,2007-12-01,45 min Presentation: New techniques in radiation oncology,Liverpool Hospital; NSW,MultiDisciplinary Team,Breakfast: Food/beverages,15,113,113,$113,$113,15,0,0,0,0,0,0,1,8
abbott,2007-12-01,Sponsorship of 4th Cabrinin Cardiac 1 day Conference x 7 hrs presentations). Abbott sponsored the event. This involved the payment of $3000. Abbott was not responsible for organising the educational content; hospitality; accommodation or travel and therfore does not know the costs of doing so.,Melbourne Sofitel; VIC,GPs,,284,3000,,,$3;000,284,0,0,1,0,0,0,0,11
abbott,2007-12-01,30 min Presentation: Treating Hypertension,Renal Dept; Princess Alexandra Hospital QLD,Cardiologists,Lunch: Food/beverages,21,336,336,$336,$336,21,0,0,0,0,0,0,1,16
abbott,2007-12-01,30 min Presentation: Treating Hypertension,2HSB Gallopoli Barracks; Enogarra Qld,GPs,Lunch: Food/beverages,16,150,150,$150,$150,16,0,0,1,0,0,0,0,9
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Novotel; Glen Waverley VIC,GPs,Dinner: Food/beverages,23,3252,1899,$1;899,$3;252,23,0,0,1,0,0,0,0,141
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Barton's Restaurant; Adelaide; SA,GPs,Dinner: Food/beverages,30,3083,2258,$2;258,$3;083,30,0,0,1,0,0,0,0,103
abbott,2007-12-01,20 min Presentation: The Science Behind Abbott Sevoflurane,Royal Perth Hospital; WA,Anaesthetists,Lunch: Food/beverages,32,273,273,$273,$273,32,0,0,0,0,0,0,1,9
abbott,2007-12-01,1hr Presentation: Treating Crohn's Disease,Royal Prince Alfred Hospital Sydney NSW,Gastroenterologists,Morning Tea: Food/beverages,7,74,74,$74,$74,7,0,0,0,0,0,0,1,11
abbott,2007-12-01,1hr Presentation: Challenges involved in treating Hypertension in the High Risk Patient,Kailis Bros; Leederville; Perth WA,GPs,Dinner: Food/beverages,30,2670,2670,$2;670,$2;670,30,0,0,1,0,0,0,0,89
abbott,2007-12-01,20 min Presentation: Obesity & Hypertension,Endocrinology Dept; Princess Alexandra Hospital QLD,Diabetes; Pathology; UQ/Endo; Podiatry,Breakfast: Food/beverages,16,218,218,$218,$218,16,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Cabrini Hospital; Malvern VIC,Urologists,Lunch: Food/beverages,5,69,69,$69,$69,5,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: Treating HIV,St Vincents Hospital VIC,Specialists (Infectious Diseases) and Other,Lunch: Food/beverages,15,182,182,$182,$182,15,0,0,0,0,0,0,1,12
abbott,2007-12-01,30 min Presentation: Treating HIV,Monash Medical Centre VIC,Specialists (Infectious Diseases) and Other,Lunch: Food/beverages,19,255,255,$255,$255,19,0,0,0,0,0,0,1,13
abbott,2007-12-01,30 min Presentation: Treating HIV,St Vincents Hospital Melbourne VIC,Specialists (Infectious Diseases) and Other,Lunch: Food/beverages,11,91,91,$91,$91,11,0,0,0,0,0,0,1,8
abbott,2007-12-01,45 min Presentation: Treating Rheumatoid Arthritis,Monash Medical Centre Melbourne VIC,Rheumatologists,Lunch: Food/beverages,16,189,189,$189,$189,16,0,0,0,0,0,0,1,12
abbott,2007-12-01,30 min Grand Rounds: Rheumatology,St George Hospital NSW,Rheumatologists & Nurses,Lunch: Food/beverages,8,245,245,$245,$245,8,1,0,0,0,0,0,0,31
abbott,2007-12-01,45 min Presentation: Treating Rheumatoid Arthritis,The Alfred Hospital Melbourne Vic,Rheumatologists,Lunch: Food/beverages,6,91,91,$91,$91,6,0,0,0,0,0,0,1,15
abbott,2007-12-01,45 min Journal Club: Immunology,Immunology Balmain Hospital; Sydney NSW,Specialists (Infectious Diseases),Breakfast: Food/beverages,12,179,179,$179,$179,12,0,0,0,0,0,0,1,15
abbott,2007-12-01,45 min Clinical Paper Review: Treating HIV,Bigge Park Sexual Health Centre; Liverpool NSW,Specialists (Infectious Diseases),Lunch: Food/beverages,18,157,157,$157,$157,18,0,0,0,0,0,0,1,9
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Mater South Bisbane Qld,Nurses,Lunch: Food/beverages,4,17,17,$17,$17,4,1,0,0,0,0,0,0,4
abbott,2007-12-01,20 min Presentation: The Science Behind Abbott Sevoflurane,Princess Margaret Hospital; WA,Anaesthetists,Lunch: Food/beverages,15,173,173,$173,$173,15,0,0,0,0,0,0,1,12
abbott,2007-12-01,45 min Journal Club: Immunology,John Hunter Hospital Newcastle; NSW,Specialists & other (Infectious Diseases),Lunch: Food/beverages,19,233,233,$233,$233,19,0,0,0,0,0,0,1,12
abbott,2007-12-01,Lunch in association with Australian Rheumatology Association Meeting,Manse Restaurant Adelaide SA,Rheumatologists,Lunch: Food/beverages,9,556,556,$556,$556,9,0,0,0,0,0,0,1,62
abbott,2007-12-01,45 min Clinical Paper Review: Treating HIV,Gosford Hospital; Gosford NSW,Specialists & other (Infectious Diseases),Lunch: Food/beverages,7,91,91,$91,$91,7,0,0,0,0,0,0,1,13
abbott,2007-12-01,45 min Journal Club: Immunology,Royal Prince Alfred Hospital; Sydney NSW,Specialists & other (Infectious Diseases),Breakfast: Food/beverages,7,100,100,$100,$100,7,0,0,0,0,0,0,1,14
abbott,2007-12-01,45 min Clinical Paper Review: Treating HIV,Prince of Wales Hospital; Randwick; NSW,Specialists & other (Infectious Diseases),Breakfast: Food/beverages,9,154,154,$154,$154,9,0,0,0,0,0,0,1,17
abbott,2007-12-01,30 min Presentation: Treating HIV,Tweed Heads Sexual Health Clinic; NSW,GPs; Specialists and Other,Lunch: Food/beverages,12,50,50,$50,$50,12,0,0,1,0,0,0,0,4
abbott,2007-12-01,45 minutes Specialist Education to GPs on Rheumatology and Biologics,Secret Garden Café Perth,Rheumatologists & GPs,Lunch: Food/beverages,9,143,143,$143,$143,9,0,0,1,0,0,0,0,16
abbott,2007-12-01,Sponsorship of 2 day GP Symposium; consisting of presentations & workshops. Abbott sponsored the event. This involved the payment of $1300. Abbott was not responsible for organising the educational content; hospitality; accommodation or travel and therfore does not know the costs of doing so.,Geelong Hospital VIC,GPs,,48,1300,,,$1;300,48,0,0,1,0,0,0,0,27
abbott,2007-12-01,Sponsorship of the Victorian Urology Oncology Group quarterly meetings. This involved payment of $5150. Abbott was not responsible for organising the educational content; hospitality; accommodation or travel and therfore does not know the costs of doing so.,Park Hyatt; Melbourne,Urologists; Oncologists,,15,5150,,,$5;150,15,0,0,0,0,0,1,0,343
abbott,2007-12-01,20 min Presentation: The Science Behind Abbott Sevoflurane,Royal Perth Hospital; WA,Anaesthetists,Lunch: Food/beverages,25,149,149,$149,$149,25,0,0,0,0,0,0,1,6
abbott,2007-12-01,30 min Presentation: Treating HIV,Holdsworth House Medical Practice; Byron Bay NSW,GPs; Specialists and Other,Lunch: Food/beverages,6,30,30,$30,$30,6,0,0,1,0,0,0,0,5
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,St John of God Hospital; Perth WA,Gastroenterologists & nurses,Lunch: Food/beverages,10,156,156,$156,$156,10,1,0,0,0,0,0,0,16
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Caulfield Endoscopy Clinic; Vic,Gastroenterologists & nurses,Lunch: Food/beverages,12,177,177,$177,$177,12,1,0,0,0,0,0,0,15
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Hollywood Hospital; WA,Gastroenterologists & nurses,Afternoon Tea: Food/beverages,10,32,32,$32,$32,10,1,0,0,0,0,0,0,3
abbott,2007-12-01,30 min Grand Rounds: Gastroenterology,Royal Perth Hospital; WA,Gastroenterologists & Registrars,Morning Tea: Food/beverages,40,35,35,$35,$35,40,0,0,0,0,0,0,1,1
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Cabrini Hospital; Vic,Pharmacists,Lunch: Food/beverages,18,191,191,$191,$191,18,0,1,0,0,0,0,0,11
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Glengarry Private Hospital; Perth WA,Gastroenterologists & nurses,Lunch: Food/beverages,12,93,93,$93,$93,12,1,0,0,0,0,0,0,8
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,St Vincents NSW,Gastroenterologists & nurses,Lunch: Food/beverages,8,115,115,$115,$115,8,1,0,0,0,0,0,0,14
abbott,2007-12-01,Speaker Tour: 2 hr Workshop Treating Prostate Cancer,QLD Radium Institute; Mater Hospital Brisbane QLD,Oncologists,Breakfast: Food/beverages,11,13213,0,$0,$13;213,11,0,0,0,0,0,1,0,1201
abbott,2007-12-01,Speaker Tour: 90 min Presentation Treating Prostate Cancer,The Coro Retaurant; Brisbane QLD,Oncologists/Urologists,Dinner: Food/beverages,23,0,1926,$1;926,,23,0,0,0,0,0,1,0,0
abbott,2007-12-01,Speaker Tour: 90 min Presentation Treating Prostate Cancer,Caledonian Hotel; Adelaide SA,Oncologists/Urologists/Nurses,Dinner: Food/beverages,37,0,1186,$1;186,,37,1,0,0,0,0,1,0,0
abbott,2007-12-01,Speaker Tour: 90 min Presentation Treating Prostate Cancer,Kallis Bros Fish Café; Perth WA,Oncologists/Urologists/Nurses,Dinner: Food/beverages,25,0,2568,$2;568,,25,1,0,0,0,0,1,0,0
abbott,2007-12-01,Speaker Tour: 1 hr Presentation Treating Prostate Cancer,Urology St George Hospital Kogarah NSW,Oncologists/Urologists/Nurses,Lunch: Food/beverages,30,0,265,$265,,30,1,0,0,0,0,1,0,0
abbott,2007-12-01,Speaker Tour: 90 min Presentation Treating Prostate Cancer,Jaspers Restaurant; Hunters Hill NSW,Oncologists/Urologists/Nurses,Dinner: Food/beverages x 9 attendees at,9,0,1021,$1;021,,9,1,0,0,0,0,1,0,0
abbott,2007-12-01,Speaker Tour: 2 hr Workshop Treating Prostate Cancer,Liverpool Hospital NSW,Multidisciplinary Team,Breakfast: Food/beverages,22,0,125,$125,,22,0,0,0,0,0,0,1,0
abbott,2007-12-01,Speaker Tour: 1 hr Presentation Treating Prostate Cancer,Sydney Adventist Hospital Wahroonga NSW,Urologists/patients,Lunch: Food/beverages,29,0,273,$273,,29,0,0,0,0,0,0,1,0
abbott,2007-12-01,Speaker Tour: 2 hr Workshop Treating Prostate Cancer,Royal North Shore Hospital Sydney NSW,Multidisciplinary Team,Afternoon Tea: Food/beverages,16,0,145,$145,,16,0,0,0,0,0,0,1,0
abbott,2007-12-01,Speaker Tour: 90 min Presentation Treating Prostate Cancer,La Goulue Restaurant; Crows Nest NSW,Oncologists/Urologists,Dinner: Food/beverages,8,0,880,$880,,8,0,0,0,0,0,1,0,0
abbott,2007-12-01,Speaker Tour: 2 hr Workshop Treating Prostate Cancer,Ballarat Hospital; Vic,Urologists/Nurses/registrars,Dinner: Food/beverages,6,0,495,$495,,6,1,0,0,0,0,0,0,0
abbott,2007-12-01,30 min Presentation: Treating Hypertension,The Townsville Hospital QLD,Cardiologists,Lunch: Food/beverages,12,120,120,$120,$120,12,0,0,0,0,0,0,1,10
abbott,2007-12-01,30 min Presentation: The Science Behind Abbott Sevoflurane,Princess Alexandra Hospital QLD,Pharmacists,Lunch: Food/beverages,29,276,276,$276,$276,29,0,1,0,0,0,0,0,10
abbott,2007-12-01,30 min Presentation: Treating Hypertension,Gold Coast Hospital QLD,Cardiologists,Lunch: Food/beverages,45,297,297,$297,$297,45,0,0,0,0,0,0,1,7
abbott,2007-12-01,20 min Presentation: Treating Hypertension,Princess Alexandra Hospital QLD,Cardiologists,Lunch: Food/beverages,27,361,361,$361,$361,27,0,0,0,0,0,0,1,13
abbott,2007-12-01,20 min Presentation: Treating Hypertension,Logan Hospital QLD,Cardiologists,Breakfast: Food/beverages,26,239,239,$239,$239,26,0,0,0,0,0,0,1,9
abbott,2007-12-01,90 min Presentation & Discussion: Palivizumab (Synagis): What role does it play in Australia?,Rydges Carton Hotel; Melbourne Vic,Neonatologists/pediatric respiratory physicians/cardiologists,Dinner: Food/beverages for 11 ($719) plus accommodation for 3 ($564) plua travel x 3 doctors = $1367; Room & equipment hire = $550,11,3203,2653,$2;653,$3;203,11,0,0,0,0,0,0,1,291
abbott,2007-12-01,90 min Presentation & Discussion: Palivizumab (Synagis): What role does it play in Australia?,Four Points by Sheraton Darling Harbour Sydney NSW,Neonatologists/pediatric respiratory physicians/cardiologists,Dinner: Food/beverages for 12 doctors @ $114 pp ($1368) . Accommodation for 2 doctors @ $280 (560) + Travel for 3 (total $2117); parking for 5 @ $35; Audio-visual hire @ $385.,12,4605,4220,$4;220,$4;605,12,0,0,0,0,0,0,1,384
abbott,2007-12-01,Sponsorship of Australian Society for the Study of Obesity annual 3 day meeting (21 hrs presentations). This involved payment of $25;000. Abbott was not responsible for organising the educational content; the hospitality; accommodation or travel & therefore does not know the costs of doing so.,Rydges Lakeside Hotel Canberra,Endocrinologists; GPs; Dietiicans; Nurses; Diabetes Educators; Cardiologists,,200,25000,,,$25;000,200,1,0,1,0,0,0,0,125
abbott,2007-12-01,Inner Circle Symposium 3 day symposium with lectures & workshops on Rheumatology,Park Hyatt; Parliament Square Melbourne Vic,Rheumatology nurses & registrars,Accommodation; Food & beverages x 2 days for 80 pax; travel & transfers x 80 pax; airfares x 68 pax . 58 attended dinner on night 1 @ $86.80. 85 attended pre-dinner welcome canapes/drinks on night 1 @ $50 pp.88 attended dinner on night 2 @ $116 pp. Conference package @$89.50 pp Day 1 & &73 pp Day 2,80,182273,119545,$119;545,$182;273,80,1,0,0,0,0,0,0,2278
abbott,2007-12-01,30 min Presentation: Treating Renal Disease,Coffs Harbour Hospital; NSW,Renal Specialists,Lunch: Food/beverages,10,181,181,$181,$181,10,0,0,0,0,0,0,1,18
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,John Fawkner Consulting Suites; Coburg VIC,Urologists,Lunch: Food/beverages,5,55,55,$55,$55,5,0,0,0,0,0,0,1,11
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,St John of God; Murdoch WA,Urologists,Lunch: Food/beverages,6,197,197,$197,$197,6,0,0,0,0,0,0,1,33
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Austin Radiation Oncology Department VIC,Radiation Oncologists,Lunch: Food/beverages,15,178,178,$178,$178,15,0,0,0,0,0,1,0,12
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Geelong Hospital VIC,Urologists,Lunch: Food/beverages,2,19,19,$19,$19,2,0,0,0,0,0,0,1,10
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Royal Melbourne Hospital VIC,Urologists,Morning Tea: Food/beverages,2,12,12,$12,$12,2,0,0,0,0,0,0,1,6
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Western Hospital; Footscray VIC,Urologists,Lunch: Food/beverages,4,34,34,$34,$34,4,0,0,0,0,0,0,1,9
abbott,2007-12-01,30 min Presentation: Treating HIV,407 Doctors; 407 Bourke St Darlinghurst NSW,Specialists (Infectious Diseases) and Nurses,Lunch: Food/beverages,7,106,106,$106,$106,7,1,0,0,0,0,0,0,15
abbott,2007-12-01,45 min Journal Club: Virology,St Vincents Hospital; Darlinghurst Sydney NSW,Specialists (Infectious Diseases) and Other,Lunch: Food/beverages,31,429,429,$429,$429,31,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: Treating HIV,Canberra Hospital; ACT,Specialists (Infectious Diseases) and Other,Breakfast: Food/beverages,24,548,548,$548,$548,24,0,0,0,0,0,0,1,23
abbott,2007-12-01,30 min Presentation: Treating HIV,Nepean Hospital; NSW,Specialists (Infectious Diseases) and Other,Lunch: Food/beverages,8,134,134,$134,$134,8,0,0,0,0,0,0,1,17
abbott,2007-12-01,30 min Presentation: Treating HIV,The Alfred Hospital Prahan VIC,Specialists (Infectious Diseases) and Other,Lunch: Food/beverages,22,182,182,$182,$182,22,0,0,0,0,0,0,1,8
abbott,2007-12-01,30 min Presentation: Treating HIV,The Austin Hospital Melbourne VIC,Specialists (Infectious Diseases); Pharmacists and Other,Lunch: Food/beverages,36,182,182,$182,$182,36,0,1,0,0,0,0,0,5
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Launceston Hospital; Tas,Pharmacists,Morning Tea: Food/beverages,7,33,33,$33,$33,7,0,1,0,0,0,0,0,5
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Box Hill Hospital; Vic,Pharmacists,Lunch: Food/beverages,16,229,229,$229,$229,16,0,1,0,0,0,0,0,14
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Box Hill Hospital; Vic,Nurses,Lunch: Food/beverages,14,191,191,$191,$191,14,1,0,0,0,0,0,0,14
abbott,2007-12-01,20 min Presentation: The Science Behind Abbott Sevoflurane,Royal Perth Hospital; WA,Anaesthetists,Lunch: Food/beverages,19,156,156,$156,$156,19,0,0,0,0,0,0,1,8
abbott,2007-12-01,Inservice: 30 min Presentation Treating Crohn's Disease,Gold Coast Hospital; Qld,Gastroenterologists & nurses,Lunch: Food/beverages,8,59,59,$59,$59,8,1,0,0,0,0,0,0,7
abbott,2007-12-01,45 min Journal Club: Gastroenterology,Westmead Hospital; NSW,Gastroenterologists,Lunch: Food/beverages,8,106,106,$106,$106,8,0,0,0,0,0,0,1,13
abbott,2007-12-01,45 min Journal Club: Gastroenterology,Liverpool Hospital NSW,Gastroenterologists,Lunch: Food/beverages,9,141,141,$141,$141,9,0,0,0,0,0,0,1,16
abbott,2007-12-01,Lunch in association with Australian Rheumatology Association Meeting,National Wine Centre University of Adelaide SA,Rheumatologists & Nurses,Lunch: Food/beverages,8,556,556,$556,$556,8,1,0,0,0,0,0,0,70
abbott,2007-12-01,45 min Presentation: Treating Rheumatoid Arthritis,The Alfred Hospital Melbourne Vic,Rheumatologists,Lunch: Food/beverages,9,116,116,$116,$116,9,0,0,0,0,0,0,1,13
abbott,2007-12-01,20 minute inservice on new delivery device,Royal Perth Hospital WA,Rheumatologists & Nurses,Lunch: Food/beverages,10,104,104,$104,$104,10,1,0,0,0,0,0,0,10
abbott,2007-12-01,2 hours Patient Education Conducted By Physician and Nurse,St Vincents Melbourne VIC,Rheumatologists & others,Lunch: Food/beverages,35,423,423,$423,$423,35,0,0,0,0,0,0,1,12
abbott,2007-12-01,45 min Journal Club: Gastroenterology,Royal North Shore Hospital NSW,Gastroenterologists,Lunch: Food/beverages,10,141,141,$141,$141,10,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: Obesity & Hypertension,Princess Alexandra Hospital QLD,Endocrinologists,Lunch: Food/beverages,10,137,137,$137,$137,10,0,0,0,0,0,0,1,14
abbott,2007-12-01,20 min Presentation: Treating Hypertension,Royal Brisbane Womens Hospital QLD,Cardiologists,Breakfast: Food/beverages,7,99,99,$99,$99,7,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: The Science Behind Abbott Sevoflurane,Royal Brisbane Womens Hospital QLD,Anaesthetists,Lunch: Food/beverages,26,345,345,$345,$345,26,0,0,0,0,0,0,1,13
abbott,2007-12-01,30 min Presentation: Treating Hypertension,Nambour Hospital; QLD,Renal Specialists,Lunch: Food/beverages,7,65,65,$65,$65,7,0,0,0,0,0,0,1,9
abbott,2007-12-01,30 min Presentation: Treating Hypertension,Royal Brisbane Womens Hospital QLD,Renal Specialists,Lunch: Food/beverages,17,205,205,$205,$205,17,0,0,0,0,0,0,1,12
abbott,2007-12-01,30 min Presentation: Treating Renal Disease,Sir Charles Gardner Hospital; Perth WA,Renal Specialists,Lunch: Food/beverages,3,17,17,$17,$17,3,0,0,0,0,0,0,1,6
abbott,2007-12-01,30 min Presentation: Treating Renal Disease,Fremantle Hospital WA,Renal Specialists,Lunch: Food/beverages,11,61,61,$61,$61,11,0,0,0,0,0,0,1,6
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,St John of God; Murdoch WA,Urologists,Lunch: Food/beverages,7,225,225,$225,$225,7,0,0,0,0,0,0,1,32
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Epworth Eastern Hospital; Box Hill VIC,Urologists,Breakfast: Food/beverages,13,173,173,$173,$173,13,0,0,0,0,0,0,1,13
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Monash Medical Centre VIC,Urologists,Breakfast: Food/beverages,15,153,153,$153,$153,15,0,0,0,0,0,0,1,10
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Austin Hospital; Heidelberg VIC,Urologists,Breakfast: Food/beverages,15,153,153,$153,$153,15,0,0,0,0,0,0,1,10
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Border Urology; Wodonga VIC,Urologists,Lunch: Food/beverages,5,68,68,$68,$68,5,0,0,0,0,0,0,1,14
abbott,2007-12-01,30 min Presentation: Treating Prostate Cancer,Royal Melbourne Hospital VIC,Urologists,Breakfast: Food/beverages,20,200,200,$200,$200,20,0,0,0,0,0,0,1,10
abbott,2007-12-01,45 min Journal Club: Virology,Concord Hospital; Sydney NSE,Specialists (Infectious Diseases) and Other,Breakfast: Food/beverages,8,102,102,$102,$102,8,0,0,0,0,0,0,1,13
abbott,2007-12-01,45 min Journal Club: Virology,St Vincents Hospital; Darlinghurst Sydney NSW,Specialists (Infectious Diseases) and Other,Lunch: Food/beverages,35,427,427,$427,$427,35,0,0,0,0,0,0,1,12
